clean_message,sentiment
share pov need help im stuck finetun llm,Neutral
pleas write comment upvot notebook,Negative
abdullah bhai ye kia hai kia hum ko onlin le sakta hain,Neutral
hug face ka cours hy onlin hi hy,Neutral
delight unveil collabor cassava diseas notebook meticul curat muhammad ibrahim explor indepth analysi insight access cassava guardian,Neutral
team work,Neutral
happi admin,Positive
mubarak brother,Neutral
next bilal mehak inshallah,Neutral
stuck silver medal need last day,Neutral
wait,Neutral
inshallah,Neutral
insha allah,Neutral
masahallah brother,Neutral
thought devin tag first ai softwar engin,Positive
congratul,Neutral
sha allah congratul,Neutral
allah give success,Positive
congratul,Neutral
sha allah boht achi abdullah bhai,Neutral
abdullah bhai ky chakki choki tu marta nhi hy bhai,Neutral
btw congratul,Neutral
data scientist requir,Neutral
congratulaton,Neutral
inshaallah mujh four silver medal ki zaroorat hai aur wo mil hi nhi rhay,Neutral
,Neutral
allah de ga,Neutral
inshallah soon,Neutral
congratul,Neutral
masshallah,Neutral
congratul,Neutral
year experi,Neutral
kaggl experi hi show krta think,Neutral
ahmad fakharvcf file attach,Neutral
dear admin pleas add person,Neutral
,Neutral
shukriya sab bhaion ka bht bht allah pak ap sab ko bhi maze kamiyab krien ameen,Neutral
ameen,Neutral
,Neutral
,Neutral
congratul,Neutral
congratul,Neutral
congratul,Neutral
sha allah congratul,Neutral
,Neutral
congratul,Neutral
new member think,Positive
g sir,Neutral
bhai ap thora intro karwa dein,Neutral
wesi naruto wali dp ny thora bahut krwa hi dia hy intro,Neutral
,Neutral
nameahmad fakharbsc student,Neutral
faisalabad,Neutral
nahi kia matlb,Neutral
ye,Neutral
hangi anim,Neutral
ni bhai ni,Neutral
mashallah apka konsa sem ja raha,Neutral
enemi,Neutral
k final ha ramdan k bad,Negative
hmm,Neutral
thank sir,Neutral
ap sunain ibrahim bhai kia hal hy,Neutral
kia chal raha hy ajkal,Neutral
bhai sir na kahu,Neutral
alhamdulillah,Neutral
ramzan paper final,Neutral
ap k work tu kafi age ha mare se tu ap hisab se sir hi ha,Neutral
phr bhi yar bhai hi sahi ha,Neutral
mane tu abhi start krna ha,Neutral
inshallah long way go,Neutral
bhai ek br idhr jo jo notebook share hui hain un pa nzr dal lena aur fazool chat se perhaiz kindli,Positive
notebook link,Neutral
regist kese krna,Neutral
zoom py class hoti ye,Neutral
celebr view notebook,Neutral
link,Neutral
abhi es ka mail nahi aya ke zoom pa ya wesi live youtub pa,Positive
regist kr diya,Neutral
regist kaisi krna h,Neutral
yeh link hy,Neutral
,Neutral
conratul,Neutral
congratul,Neutral
messag delet,Neutral
messag delet,Neutral
messag delet,Neutral
delight unveil collabor cassava diseas notebook meticul curat muhammad ibrahim explor indepth analysi insight access cassava guardian,Neutral
kindli review provid feedback brain tumor detect notebook upvot comment greatli appreci thank support,Positive
messag delet,Neutral
,Neutral
,Neutral
bhai ya solv kasay ho ga,Neutral
exceed per min rate limit seem like tri mani time,Positive
tri time see ok,Positive
ok ill tri,Positive
rizwan bhai behtr bata sakti iss bari mein,Neutral
ok,Positive
comment issu aa rha hy meri id ka jinhon ne aj notebook share ki thi kal tk comment kr dn ga,Neutral
pleas sb upvot kr dy,Neutral
masshallah,Neutral
messag delet,Neutral
congratul,Neutral
congratul,Neutral
congratul,Neutral
notic share valuabl inform kaggl platform reward,Neutral
,Neutral
ge asa ha,Neutral
,Neutral
,Neutral
notebook surpass fork mileston achiev,Neutral
,Neutral
,Neutral
expect upvot group,Neutral
bhol jao ya din ni ana ya group ki awam rozi rkhni bzi h,Neutral
insahallah bhai ho gay ga agar ap na mehnat ki hai upvot hon gai,Positive
bahi vo ho gy hmari group vali support ni krti,Neutral
han ye hai,Neutral
boht kam log upvot kartain hain,Neutral
ha agr sub upvot kri axhi khasi rank mil skti,Neutral
pata nai baqi kidr gata hain,Neutral
bhai engag banao ap log network ka use kro convers se perhaiz kro idhr esi phr notebook ka pata hi nahi chlta kisi ko bs chat hi chat rehti hy messag edit,Neutral
bhai thora sa explain kar dein samaj nai lagi,Neutral
bs chat na kro group,Neutral
reaction krsktain,Neutral
bhai logon ke sth thora engag huwa krien kaggl linkdin discord facebook bht group hain udhr logon ko target krien un se connect creat krien,Neutral
ye abdullah bhai right,Positive
exactli bhai ap sahi keh raha ho,Positive
nope,Neutral
ye log kon hain main inhain bhi nahi janta abhi tk,Positive
zayda facebook use kart hu sir ki video ka watch time apka zayda ha top fan,Positive
vote,Neutral
mei ne nhi kiya abhi laptop hi hai,Neutral
wait kiya karo least day,Negative
ok,Positive
thk hai janb,Neutral
good blog,Positive
,Neutral
thank,Neutral
u,Neutral
ascend top master notebook,Positive
elon musk ko kaha apni project py koi dataset de ham ne eda krna ab dekho kab deta,Neutral
one submiss krni hy ap ne eda nhi ap ko competiton ek submiss file submit krni ho gyii mean model train kr ky usi test pa predict krien jo submiss file ho usi submit krien,Neutral
ok,Positive
zrori nhi ap ne py hi ana jitna kr skti hen utna kr len contribut,Neutral
mean say agr accuraci nhi ati na aay kam az kam contribut kri chahi accuraci hi q na ho,Neutral
ji ji wo ha men jsut eda py kam kar rahi liy pocha wesi ml asan ha eda se mojhi ml k sari code ati ba koch din tak ml start karti us py model bana kar upload karti hun,Neutral
phir ye bhi karti han sha allah,Neutral
day kaggl streak climb rank notebook,Neutral
messag delet,Neutral
ye,Neutral
messag delet,Neutral
messag delet,Neutral
notic,Neutral
ur jin ko ye baat samjh nahi ayi wo mji dm kari,Neutral
,Neutral
thank bhai allah ap ko kamiyab karay,Neutral
congratul sha allah,Neutral
masshallah congratul,Neutral
congratul,Neutral
got one,Neutral
second day row,Neutral
congratul,Neutral
bhai bhai,Neutral
,Neutral
that great masha allah,Positive
congratul bhai,Neutral
congratul brother,Neutral
sha allah finger cross,Neutral
fli sky,Neutral
senior want buy api pleas suggest method buy,Neutral
,Neutral
kind api,Positive
practic,Neutral
pleas suggest firstli huggingfac openai one buy practic buy token less amount messag edit,Positive
suggest tri month see work best,Positive
becom good use model huggingfac platform,Positive
thank bilal bhai,Positive
anyon need info dm advis suggest let platform kaggl per admin instruct happi answer question dm dont mind,Positive
sorri admin forgot instruct,Negative
sorri yeh instruct bhi ap sb ke faiday ke liy hi hain moslti log shikayat krti hain ke hamari notebook pe respons nahi aya check chal rhi hy kn activ reh rha kn nahi tbhi chat minim ki hui hy,Neutral
admin dont mind question ask commun,Neutral
,Neutral
ye,Neutral
need premiss think u senior member also,Neutral
question ask,Neutral
pakistan per knowledg use ml dl ai market research like consum like dislik behavior real estat health relat busi,Neutral
work market research firm firm interest optim product consum interest search qualiti product cheap rate main concern consum observ origin product demand question interact consum,Positive
also sever idea share relat accord job descript,Positive
realli good haroon know definit increas knowledg market industri,Positive
mean origin product dm haroon,Negative
per knowledg ai industri boom day also run startup like provid free ai cours also provid student intern say u compani complet intern give certif take time,Positive
dead commun dm answer dont feel comfort answer,Neutral
bhai ha,Neutral
brother teach peopl first u get almost year real industri experi,Positive
last line read krien es text ki,Neutral
go teach help basic learn baba je,Neutral
ok ok,Positive
jo bhai rah gain hain wo ko upvot kar dein upvot reh gain hain gold ka lye,Neutral
pleas review convolut neural network guid find help would appreci upvot thank,Neutral
top discuss expert rank,Negative
golden notebook radiat brillianc gold,Positive
upvot comment two disscus,Neutral
,Neutral
aik bar ap bhi dekh lein shayd koi notebook reh gae ho check kern k baad ap ko zaroor milay gi,Neutral
ik,Neutral
though,Neutral
grate activ support everyon much appreci guy hero unfortun dont want engag still want part group led decis go leav group half member dont engag infact member find anoth commun,Neutral
guy free contact help happi help anyway regardless support help sake allah,Positive
bilal bhai leav group,Neutral
ap group se left na karay balkay jo member activ nhi hain unn ko remov kerwa dein simpl,Neutral
leav group support,Neutral
ye sister also think,Neutral
wo leav ker chukay hain,Neutral
yet read messag,Neutral
good decis,Positive
dot forget achiev stage effort help communityif left group selfish,Neutral
bilal bhai jahan sa ap na start kia un ko na leav karen,Neutral
ok,Positive
note leav,Neutral
say ye everi one support that true read second messag get answer,Neutral
one,Neutral
,Neutral
bilal final decis dot think right way leavei person endors comment mani notebook,Positive
touch mani member directli im sure vouch say approach individu alway help expect ye group sole made kaggl support like work atleast support otherwis provid critic feedback,Positive
appreci feedback,Neutral
though,Neutral
bht jaldi correct kiya,Neutral
apki group discuss sa bohat motiv milt haka,Neutral
senior,Neutral
bilal bhai group mai kafi log hen jo bilkul beginn hen un ki kaggl ki profil tk nhi bni ho gi,Neutral
,Neutral
kal se jo daili engag na huwa remov mujhi yeh krti huwi bilkul acha nahi lagya ga pleas engag kr lyn ek achi commun bana lyn es na mera koi zaati faida hy na bilal ka na ibrahim ka na danish ka es sab ka faida hy roz roz ki baaton se tang aa gya hn ab shay khud hi admin se hath jata hn ku ke mujhi acha nahi lagta kisi ko bura kehna ya esi group se kick krna,Neutral
idhr aj ek link share krn ga ghantay tk jo jo us link pa engag ho ke apni idz aur name enter kr dey ga ghantay ke baad sirf wohi sab ek commun rahien gye baqi sab jo non activ hain woh kick,Negative
thik abdullah bhai ye jo pehli commun bni wo bhi khtm kr den,Neutral
kuch khatam nahi kr rha hn aj googl form share krn ga idhr us ap sab apni kaggl id name aur whatsapp num add kr dien,Neutral
that good decis,Positive
ok,Positive
,Neutral
messag delet,Neutral
chuti bachun k liy asi vido banyn k un ko ap code esi sikhi k wo borr na hun q k vs code py agr ap print karti koch bhi termin men wo print huta jo bachun ko boor lagta meri apni ghar men bhen bahi kahti boor kam ha q k dekhni men un ko thk ni lagta meri pass ak video ha agr us trhan ki video bana kar ap bachun ko teach karyn ai datasci shahid wo achi se parhi gy,Neutral
bachon ki age kia hy,Neutral
class k student han,Neutral
st year k bhi han,Neutral
unko abhi khailnay deyn code ki trf na layen,Neutral
st year walon ko ku nahi smjh aa rhi,Neutral
samjh tab ay jab dekhyn wo vs code ko dekh kar hi boor hu jati meni samjhani ki itni bar koshish ki teach bhi karna start kia phir ati hi ni ba mojhi dekhti rahti kam karti huwi,Neutral
ap unhien phli basi python se introduc krwayen vs code ke ellawa aur bhi jagah jagan ap,Neutral
mojhi vs ka hi pata ha,Neutral
unko phli offic krway draw bnani interest jb paida ho ga fr code ki trf move mri,Neutral
kri,Neutral
ok,Positive
internet pa ek replit websit hy ap udhr unhien python ke code run krna seekhayen,Neutral
udhr output bilkul sth hi show hoti hy,Neutral
ok ye bhi tri kar lyti han,Positive
exactli,Positive
wschool websit hy,Neutral
waha pay complet python ka cours hy onlin practic b kr sakti hy,Neutral
ji karwati hun wo wesi thorha thorha intro dia huw excel access ka,Neutral
dekhay simpl hai bacho ko jab tak interest nhi ho ga wo nhi seekhai gai ap jo mrzi ker lein first year k student bachi nhi hotay tu sb se pehl unn mei interest develop karay unn k saamnay kuch uniqu karay aur iss k benefit dikha unn k samnay aesi baatein karay jo ho hi ds se relat ya python k benefit btae jab unn mei interest aa jae ga aur unhi pta chal jae ga k ye hai kiya wo ap ko khud kahi gai k hami ye seekhna hai,Positive
jitna kam karti wo dekhti rahti han ba karti ni han,Neutral
daili life ki exampl say samjhain kafi easiy rehi ga,Neutral
unkay liy b apki liy b,Neutral
ye unper ha hai,Neutral
ba kahti boor kam ha,Neutral
ok agai mojhi samjh,Positive
ap jitna kam kerti ho wo thora ziada hota hai start walo k liy nhi tu wo unhi bore hi karay ga bacho ko seekhanay k liy bachon ki tarah hi seekhana perhta hai,Neutral
unn k sath aesay ho jao jeas wo khud hain,Neutral
unki mental dekhain,Neutral
har bar ap batao gay wo bore hi kahey gy,Negative
,Neutral
question,Neutral
,Neutral
upvot almost notebook share group,Neutral
asalam alaikum,Neutral
wsalam,Neutral
stay leav,Neutral
walikum salam,Neutral
waalaikum assalam,Neutral
thank messag group privat,Neutral
glad hear,Positive
bilal ny ap logo sy dimagh sy khela ha indirectli,Neutral
kid,Neutral
hi everyon saman fatima,Neutral
hahaa,Neutral
walikum salam,Neutral
walaikun,Neutral
new member,Positive
hy saman,Neutral
right,Positive
hi mehak long time see,Neutral
saman admin ne kuch restrict lagai hain number per baat kert hain messag edit,Neutral
ok,Positive
baqi bhi activ hi hain ab kuch ki khatir sab ko badnami na,Negative
g,Neutral
well come,Neutral
bhai mere finger tip par name ha jo activ ha,Negative
phr name lo remov kr deta hn,Neutral
acha phir lein name,Neutral
bs kr hn jag ny sari,Neutral
ab pori pakistan jaggi gy log thori der dhol wali ny ajana ha,Neutral
acha yaha tu koi nhi aata,Neutral
dear codan,Neutral
wa alaikum salam,Neutral
sahri ka time ho gya,Neutral
definit,Neutral
min tk ana pubg khailen messag edit,Neutral
nhi yar abhi time hai,Neutral
mehakzeeshan mehaksamanjawad afsar new memberbil bhai abdullah sir haroon ul hussnain bhai rizwan bhai kiran maria turabnaeemrana asif hussainsibtainasif iqbal novoic activ maria,Neutral
think aisa ni hai jo log rhi hen un ko koi farq ni parta ksi ky sy ya jani sy farq un ko parta hai wo kich seekhna chahti hen bilal bhai jesa help bndi ko khona ni chahti,Neutral
kl ki iftari teri meri trf,Neutral
paper bhi esi yad krana,Neutral
ibrahim wah mera name two time mei itni activ,Neutral
naeem activ member sibtain asif also upvot feedback predict fals,Negative
la aja,Neutral
hni,Neutral
jazakallah haroon bhai still learner happi share see peopl grow especi pakistani brother sister,Positive
tuji khni lga tha,Neutral
bhai phr tum logon ne chat shuru kr dii,Neutral
page alway khatam hu jati ha,Neutral
likh raha hu,Neutral
ye,Neutral
go chat privat bhae admin ki koi izat rkh lo,Neutral
sorri admin,Negative
krta hu apki bht ly kaha ajo,Neutral
sabko person mein kaisi msg karo,Neutral
danish bhai hoti thay yahan wo kidher hain,Neutral
loop lga ky,Neutral
wesi hamari danish bhai kdr ghaib hen,Neutral
,Neutral
second admin busi day,Neutral
bi yhi poch rha,Neutral
yar kuch ha know,Neutral
wo bhai secret agent ha,Negative
would like attend session compil point discuss tri arrang meet time that suitabl get privat messag member believ better live session rather explain separ person,Positive
wo har kisi ka kam dekht ha,Neutral
beta jao game khelo,Negative
bilal make notebook idea,Neutral
ye,Neutral
that good idea believ give person time commun contribut especi,Positive
time manag krna muskil hy jab ap avail ho gye idhr mostli sab hi hotay ek din qurbani deni ho gii kisi ek ko tab hi meet ho skti hy,Positive
ye agre share slot time get vote time slot decid per schedul,Neutral
hmm decid kar lete,Neutral
admin pool creat kr dy pta lg jay ga ky kn ki time avail ho ga,Positive
wesi abdullah bhai ap lahor hi ho koi plan kr lo lahor wali jo member hen ham meet bi kr skti hen learn bi ho jae gi live interact bi,Positive
that great idea,Positive
day ka laga,Neutral
lahor,Neutral
linkedin locat lahor that said,Neutral
nhi ap aik time decid karay k iss time meet hai sb ne avail hona hai bss uss time sb avail hoon time decid kerna ap sb ka kam hai,Positive
ku nahi eid ke baad koi din select kr letay hain,Neutral
eid valyy din kr lti h,Neutral
way suit baba g time,Neutral
poll activ non activ member also,Negative
sir maafi de deyo plz eid pa hi sona hota hy sukoon se,Neutral
abhi bhej chahe,Neutral
sure sha allah,Positive
ek min sab khamosh ho jao,Neutral
that bro,Neutral
fazool beha na kro kuch pata nahi chal rha kn kia keh rha hy,Neutral
bilal ap ne session krna hy ap inbox ao udhr time batao jab ap free ho ke session kr skti ho,Positive
ok bye,Positive
pakistan time work well,Neutral
fajr pakistan time,Neutral
theek hai,Neutral
tb need full zor py hti ha,Positive
poll,Neutral
night owl hen sab yahan,Neutral
,Neutral
,Neutral
total nsg jin men link han,Neutral
itni rat ko kesi jagyn rat hi tu suni k liy huti ha baji tak jag lyn ham itna mushkil huta fjr k bad banda activ huta per yahan baki sab rat ko activ huti,Negative
,Neutral
mashallah congratul,Neutral
still stuck even though silver,Neutral
zabardast,Neutral
masahallah,Neutral
one activ member commun,Negative
congratul mehak may allah give success,Positive
congratul,Neutral
congratul sha allah,Neutral
mujh pehl yaqeen tu kern,Neutral
ab ap ki bari hai next inshaallah,Neutral
thank much,Positive
thank saman,Neutral
welcom,Positive
mujh tu ye surpris hi mil gaya kal tak tu three silver medal reht thay aur ab aik dum se ye news excit,Positive
congratul allah kmiyab kari ab ramzan men parti ni mangti iftari py dawat dy du sabko,Neutral
thank,Neutral
congratul,Neutral
g zaroor aa jae sb multan,Neutral
address plz,Neutral
address papa se poch ker btaon gi mujh itna idea nhi address ka bss aanay walay bano kal tak address bhi mil jae ga,Neutral
multan serious,Negative
yaha disscus nahi kart,Neutral
person mein baat kari,Neutral
okok,Neutral
congratul,Neutral
boy,Neutral
koi esa user hy ji ne abhi tk upvot na kia huwa bilal ko go,Neutral
main kaha tha,Neutral
bss aik hi reh hi reh gaya medal wo bhi bht jald mil jae ga aur aaj hi milay ga inshaallah,Neutral
apni id ka link share karlein ta ky sab dekh ly,Neutral
ye,Neutral
still notebook need engag codainc,Neutral
mei samjhi nhi second line,Neutral
congratul,Neutral
multan ki jga,Neutral
bili da dra,Neutral
dera,Neutral
nhi ye tu door hai thora think,Neutral
bahi parti bnti mehak sy,Neutral
chlo eid ky bad done,Negative
gg zaroor,Neutral
pind basa nahi mangtay phli ponch gye,Neutral
good achiev mehak keep,Positive
pind bs gya h,Neutral
thank much support,Positive
nahi basa bhai,Neutral
notebook master ka titl mil gya h abi knsa bsana h,Neutral
waisi person ajo idr admin bahi gusa krti,Neutral
ab admin kaha ha jo kahta ha k batyn ni karni group men,Neutral
sb aa jao person,Neutral
vo idr ha,Neutral
admin bahi zra dedar krway,Neutral
la abi ay,Neutral
admin ki bhae izat hi nahi mazaq bana lia hy admin ka gila bhi kia krna mazaq bannay wali bhi apnay hi hain,Neutral
koi baat nhi itni tu izat ki aadat ho gae ho gi ab tak tu feel nhi hona chahiy,Neutral
admin bhai ak gorup bana dyn ta k ak men link send hun baki batyn ya question sab alg group men huj ayn,Neutral
upvot notebook,Neutral
restart vscode,Neutral
json format code,Neutral
congratul mehak,Neutral
secur second bronz medal elev dataset masteri,Neutral
upload dataset account one heart dises clean second email spam text make notebook data aslo,Neutral
im excit share latest notebook titl crush bilstmrnn deliv accuraci explor use bidirect lstmrnn model achiev impress accuraci challeng task find notebook link would love hear thought feedback approach result support feedback mean lot,Positive
main differ machin learn vs deep learn,Neutral
sab log lazmi karen,Neutral
pleas give suggest,Neutral
way human brain work kind like muscl bodi train gym muscl get stronger need train brain way question keep practis till get better point start teach other beyond,Positive
keep code,Neutral
jazakallah bilal bhai,Neutral
koi jab raha ha,Neutral
submiss file save predict,Neutral
abhi tak meri pc k folder menhi ha,Neutral
isi kesi karna detail se bata dyn bahi,Neutral
check notebook titan exampl,Neutral
ji ki ha ap ki hi zeeshan bhai ki bhi ki ha meni bhi pata ni ak banai ha ab usi upload kesi karna ha,Neutral
meni file bana li ha,Neutral
notbook,Neutral
creat submiss file,Neutral
notebook banai ha bhai,Neutral
mojhi ni pata kia karna kia banana meni ba bana di ha,Neutral
understand train model made predict per requir competit,Neutral
ji model banaya ha,Neutral
come googl meet explain bhai,Neutral
bhai,Neutral
femal hun,Neutral
kiran name ha,Neutral
apolog,Neutral
koi bat ni,Neutral
bhai ap femal ka sun kar gaib hu gy detail men bata dyn voic msg py hi bata dyn kia karna ya koch glt ni kar rahi men,Neutral
search code,Neutral
okok,Neutral
ais creat kerni hai file,Neutral
app nay apni predict ko iss file may save kerna hai,Neutral
mtlb ye code likho gi save hu jay ga,Neutral
need use variabl one,Neutral
jo app ki ypred hain uss ko save keray,Neutral
ji wo pata ha,Neutral
ok hu gia tri,Positive
lo ji kam kar k bhi bhul gai men,Neutral
ye save kar chuki men last py,Neutral
per itni akal ni k dekh lon men phli save hoi kahan hy,Neutral
happen,Neutral
csv wali file men ypred ko save kia huwa meni,Neutral
ok ab meni csv wali file upload karni ya kkoch kam bhi karna men,Positive
submiss csv file,Neutral
ok,Positive
ap ka code dekh kar yad aya ye kia huw meni,Neutral
discript men kia lilkhna ha,Neutral
,Neutral
sorri descript,Negative
jo yahan option ha,Neutral
that refer never wrote descript,Neutral
bilal bhai codium ye copilot ka use kar lye vscode ya nahi,Neutral
men bhi churh dun khali hi,Neutral
beginn never use ai assist know softwar compani ban use tool,Neutral
use delay kill progress,Neutral
thankyou bhai hu gia mera level bhi baarh gia,Neutral
mubarak,Neutral
sirf bar scroll karo link nazar aa jatain hain bhai sara mg na parhain ap,Neutral
yr koi import bat hoi ho gi wo miss ho jay gi na,Positive
bhi begin isi tarah hota hai ap ko engag karna hi parta hia warna ap ka network kesa grow ho ga,Neutral
right brother apolog let keep space clean share link,Positive
anyon need help dm us,Neutral
bhai ni pata huta k kon waqt onlin ha ya free ha ap adminhan wo ak group bana dyn link k liy ta k ak side py link hu jayngi sari,Positive
notebook k liy elehda group bna len discuss yaha py krti jay se kisi ki notebook miss nhi ho gi,Neutral
admin,Neutral
jo ha admin un ko bol dyn,Neutral
congratul mehak,Neutral
hi everyon dr farrukh nave,Neutral
congratul incridebel achiev,Neutral
congratul mehak,Neutral
,Neutral
pleas check notebook list anyon didnt give upvot notebook pleas give upvot messag edit,Neutral
everyon,Neutral
sha allah mani mani congratul allah sab member ko isi trha kamyabiya ata frmay ameen,Positive
,Neutral
dive latest kaggl notebook uncov hidden gem custom data reveal person market strategi drive engag boost roi dont miss explor datasci market kaggl customerinsight,Positive
decod custom loan predictionann,Neutral
thank maria,Neutral
sab log zaroor upvot comment karen,Neutral
ameen,Neutral
think engag everyon link anyon left let know,Neutral
guy let say notebook relat dont straight away copi chatgpt chang much peopl start recognis chatgpt text platform like stack overflow ban chatgpt,Positive
suggest dont listen,Neutral
agre chat gpt use get idea need lot proof read factcheck,Positive
use chatgpt get help copi past chatgpt bad,Negative
thank includ ibrahim bhai,Positive
person use chatgpt ad comment code sometim got stuck error,Neutral
alot new tool deveolp chatgpt much accur updat tri write word,Positive
everyon hope relat share thought look forward hear,Neutral
im thrill share exploratori data analysi eda appleapp check crunch appleapp number support support commun mean everyth togeth continu learn grow achiev,Neutral
engag notebook,Neutral
come meet pleas like messag know also would like ibrahim abdullah possibl,Neutral
ye sure,Positive
commun alway readi engag everyon notebook trend,Positive
see notebook trend compet that spirit need,Negative
ye that power commun,Neutral
ak suggest jitni bhi notebook ya discuss ho ap inko pin kar diya kari tak dhondhni na pari,Neutral
,Neutral
congrat,Neutral
congratul,Neutral
oh k,Neutral
sir ki notebook,Neutral
upload notebook mnist digit recognit cnn pleas check upvot thank,Neutral
,Neutral
,Neutral
,Neutral
alhamdulliah,Neutral
ibrahim saman maria need googl project get kaggl quesntion answer dataset stackoverflow dataset finetun use lora qlora get infer,Neutral
model train may gpt turbo gpt even get better result train gpt sinc smaller model,Positive
also deploy gpt model,Neutral
complet video make deploy model hugginfac,Neutral
that great thank sharingbi sure would help us,Positive
great bro,Positive
masshallah work,Neutral
file crash hoi h refresh kri,Neutral
ni net ni arha waja se ye show hu raha,Neutral
abhi hour ha mojhi need agai ha,Neutral
oo fr thk h,Neutral
bhai mera ak kam kar dyn gy,Neutral
mahak baji ap agr onlin hu tu ap kar dyna,Neutral
,Neutral
kia,Neutral
good,Positive
meet ka kia seen h,Neutral
,Neutral
time right,Positive
finish sehri,Neutral
ye,Neutral
ohhh,Neutral
share link soon,Neutral
bhai zoom ho ga ya googl meet,Neutral
googl meet,Neutral
,Neutral
bhai le lein,Neutral
everyon want join meet join,Neutral
think learner step forward showcas app,Neutral
g sha allah ap k pichi pichi aa rhi hen,Neutral
thank attend meet hope benefici,Neutral
inform help interact session,Positive
im glad join commun,Positive
,Neutral
anyon share keypoint meet,Neutral
point,Neutral
,Neutral
discuss point,Neutral
member meet,Neutral
would nice also,Positive
,Neutral
next meetup inshaallah,Neutral
meni khud ko bhut roka baji k bad bhi na himat thi na energi ir dinagh kam karna band kar gia warna ye meet k point dekh k lag raha k ye meri liy import thi,Negative
jin logun ny meet attend ki agr wo mojhi ye point voic py thorhi detail se samjha dyn tu allah un ko jannat men ala makam dy ga ammen,Neutral
may ny join k thi lkin bd may leav ho gaya tha,Neutral
that right way,Negative
go jannah,Neutral
bhai dunia arzi ha men ap ko akhirat ki dua di,Neutral
duniya arzi hy point sun ke kia krnay sehri krien nimaz pharien ibadat krien akhrat ki tyaari krien,Neutral
ji q phli ye sab ni karti,Neutral
ham krti hain alhumdulilah duniya bhi akhrat bhi ap ke liy rehnami ki hy sister,Neutral
wo dunia ki dua sab dyti meri adat men ye dua sab ko deti liy,Neutral
ji pata ha meni wesi dua di ha lykin us se phli meni ak kam bula wo ni dekha kia kisi ny,Neutral
sister itni koi kha nai thi meet,Neutral
ok,Positive
tell what funni,Positive
share idea,Neutral
magic edit,Positive
correct,Neutral
khair chorien ji point ki smjh nahi ayi bilal ya mujhi dm kr deyn tri explain simpl,Neutral
khaa nahi thi itni mehnat say bool kay time energi kay baad bhi khaa nahi thi thank bro,Neutral
jin ko pata hu ga point ka un k liy ni hu gi bilal bhai men free hu kar ap ko dm karun gi ap jab free hun gy mojhi ye point samjha dyna,Positive
ok,Positive
asfar bhai sab say ziada question pooch rahe phir bhi khaa nahi,Neutral
,Neutral
nahi mera kehna ka ye matlab nai tha,Neutral
pull leg bro,Neutral
break rule bro let make differ chat kaggl link leav one discuss,Positive
motiv post,Neutral
today even make second sepeart group discuss link notebook link,Neutral
open link join whatsapp group,Neutral
excel nb,Positive
abdullah bhai group request utha lein,Neutral
,Neutral
everyon notebook group react upvot notebook also comment u guy think,Neutral
,Neutral
wrong chat,Negative
,Neutral
dosari meri pass ni ai,Neutral
ok,Positive
mill gia,Neutral
sorri abhi utha hn sab ko add kr dia hy meni,Negative
congratul,Neutral
aoa use other code end give refer ok,Positive
code mean part code,Neutral
congratul bro,Neutral
sahi sahi,Neutral
would like connect facebook profil well,Neutral
done,Neutral
masahallah abdullah bhai,Neutral
congratul bro,Neutral
wesi ak bat note ki ha meni jo jo notebook py upvot comment karti un men koi ak bandi code ko aram se gor se dekhti han baki sab vote karna comment karna ha ta k agli bandi ka rank barhi baki koi mistak hun wo bhi bata dia karyn wahan ni yahan hi bata dia karyn ta k banda us py focu kari next time sai se kam kari esi mojhi lagta rahi ga k men bhut acha kam kar rahi mojhi sab ata ba ak abdullah bahi ny dekha code unho ny kaha k rate men mistak ha,Negative
ye kam abdullah bhai ibrahim bhai k zimi lgaya hova next year kisi ki duti lgi gi,Neutral
bhai ap ny chatgpt ko copi karni se manha kia tha k ham us se sab ni ly sagti kam se kam ham ye kar sagti english ni ati sai usi ham apna javab ya koi bhi apni bat urdu men bata kar english men convert karwa lyn men eglish men barhi nakami hun bachpan se hi ba mushkil se mark ly kar pass huti ati hun,Neutral
ap bjay k urdu mai chatgpt ko sab btay ap apni tooti phooti english mai bhi bta k apni statement thik krwa skti hen ye ziyada benefici,Neutral
bs kr pagli,Neutral
mtlb wohi tha esa hi karti tab mojhi esi lagta isi urdu ni ati tu english men hi batati,Neutral
lag ye raha ha un k ilawa kisi ko ata hi ni kam jesi whatsapp facebook k statu py nice well done good work ba yehi comment uder bhi huti han,Positive
sha allah apka kam bohat acha hai meri jaisi beginn ko kuch chezain ni pta hoti jo abhi practic karni hain,Neutral
search karni wali hain,Neutral
yeah nice meet,Positive
meno kerha sara anda hy men vi sir di video wekh wekh k kardi han hik video wari wekh k mera kam pora hunda hy,Neutral
nice,Positive
messag delet,Neutral
nice comment,Neutral
nice punjabi,Positive
ok bhaion maaf kia,Positive
lagta samjh ni ai,Neutral
messag delet,Neutral
aye hai,Neutral
punjabi ate,Neutral
woman allhamdulliah women,Neutral
messag delet,Neutral
messag delet,Neutral
messag delet,Neutral
messag delet,Neutral
pc pr bethni se nhi hona khane se hona,Neutral
messag delet,Neutral
messag delet,Neutral
link send krin,Neutral
,Neutral
,Neutral
messag delet,Neutral
messag delet,Neutral
messag delet,Neutral
messag delet,Neutral
messag delet,Neutral
messag delet,Neutral
messag delet,Neutral
